method,round,domain,em,f1,containment,num_samples
fedit,0,macro_average,60.875,70.76913931102298,77.75,800
fedit,1,macro_average,61.75,73.17792723799082,80.25,800
fedit,2,macro_average,63.5,74.86752560610046,82.625,800
fedit,3,macro_average,61.0,72.84255987068487,80.875,800
fedit,4,macro_average,63.25,74.7279811772245,82.375,800
fedit,5,macro_average,64.625,76.51230345287539,83.375,800
fedit,6,macro_average,65.0,75.89172896130319,82.25,800
fedit,7,macro_average,63.875,75.91181672086084,82.875,800
fedit,8,macro_average,64.375,75.52135534574145,82.5,800
fedit,9,macro_average,63.75,75.72445693066823,82.375,800
