domain,method,n,llm_judge_correctness_mean,correctness_std,on_topic_rate
mathematics,centralized_10,10,1.6000,0.9165,0.9000
mathematics,centralized_2,10,1.9000,0.9434,0.5000
physics,centralized_10,10,1.8000,0.7483,0.7000
physics,centralized_2,10,1.5000,0.5000,0.7000
computer_science,centralized_10,10,1.8000,0.6000,0.8000
computer_science,centralized_2,10,1.4000,0.9165,0.7000
statistics,centralized_10,10,1.7000,0.4583,0.9000
statistics,centralized_2,10,1.9000,1.1358,0.7000
economics,centralized_10,10,1.3000,0.4583,0.5000
economics,centralized_2,10,1.5000,0.9220,0.7000
biology,centralized_10,10,1.6000,0.4899,0.7000
biology,centralized_2,10,1.5000,0.9220,0.8000
macro,centralized_10,60,1.6333,0.6574,0.7500
macro,centralized_2,60,1.6167,0.9326,0.6833
