domain,method,n,llm_judge_correctness_mean,correctness_std,on_topic_rate
mathematics,base,10,2.4000,1.2806,1.0000
mathematics,local,10,1.6000,1.0198,0.8000
mathematics,centralized,10,1.8000,1.1662,0.8000
mathematics,fedit,10,1.6000,0.6633,0.8000
mathematics,fedrotlora,10,1.6000,0.6633,0.7000
physics,base,10,2.1000,0.5385,1.0000
physics,local,10,1.3000,0.4583,0.4000
physics,centralized,10,2.0000,0.7746,0.9000
physics,fedit,10,1.8000,0.6000,0.7000
physics,fedrotlora,10,1.6000,0.6633,0.6000
computer_science,base,10,2.5000,1.1180,1.0000
computer_science,local,10,1.4000,0.4899,0.6000
computer_science,centralized,10,1.8000,0.8718,0.9000
computer_science,fedit,10,1.5000,0.9220,0.6000
computer_science,fedrotlora,10,1.6000,1.0198,0.5000
statistics,base,10,2.5000,0.6708,1.0000
statistics,local,10,1.9000,0.5385,0.8000
statistics,centralized,10,1.8000,0.6000,0.7000
statistics,fedit,10,1.4000,0.4899,0.5000
statistics,fedrotlora,10,1.3000,0.4583,0.4000
economics,base,10,2.1000,0.5385,1.0000
economics,local,10,1.3000,0.4583,0.7000
economics,centralized,10,1.2000,0.4000,0.6000
economics,fedit,10,1.6000,0.9165,0.8000
economics,fedrotlora,10,1.6000,0.9165,0.5000
biology,base,10,2.2000,0.6000,1.0000
biology,local,10,2.1000,0.5385,1.0000
biology,centralized,10,1.5000,0.5000,0.7000
biology,fedit,10,1.9000,0.9434,0.9000
biology,fedrotlora,10,1.6000,0.6633,0.7000
macro,base,60,2.3000,0.8622,1.0000
macro,local,60,1.6000,0.6880,0.7167
macro,centralized,60,1.6833,0.8061,0.7667
macro,fedit,60,1.6333,0.7951,0.7167
macro,fedrotlora,60,1.5500,0.7621,0.5667
