method,metric,mathematics,physics,computer_science,statistics,economics,biology,macro_average
base,eval_loss,2.141715136800482,2.8392654422176857,2.8270141846102765,2.9308555682804553,3.1430459910280177,3.4529887823575582,2.889147517549079
base,perplexity,8.51402783567046,17.103197634860628,16.894940266887367,18.74366011953459,23.174348318338918,31.59468095947577,19.337475855794622
base,rouge1,0.2795609563251539,0.27614928599593047,0.26770090746678543,0.2637101874681911,0.2690421085802895,0.2576946107754008,0.2689763427686252
base,rouge2,0.10487678957844099,0.07626806428635241,0.06916576333951055,0.06498606606452849,0.06048560700969285,0.049936895167793975,0.07095319757438655
base,rougeL,0.1807403885546046,0.14933950877675184,0.1452910093460117,0.1364958716502736,0.13603855359229905,0.1292244469717713,0.146188296481952
base,avg_generation_tokens,724.55,732.65,747.285,755.445,743.07,726.08,738.18
base,eos_rate,0.215,0.2,0.135,0.105,0.15,0.28,0.18083333333333332
base,max_tokens_rate,0.785,0.8,0.865,0.895,0.85,0.72,0.8191666666666667
local,eval_loss,1.2983831498051912,2.054958151294298,1.939428357534061,2.1081518485095776,2.344982824750403,2.630437117907877,2.0627235749669013
local,perplexity,3.6633687581495806,7.806511173411322,6.954774189829248,8.233011363139187,10.433093535024549,13.879835701041971,8.49509912009931
local,rouge1,0.2692622232594615,0.24925388295614034,0.21395596369812567,0.21235087407230957,0.2053167273289599,0.18517067408012838,0.2225517242325209
local,rouge2,0.09906970380194008,0.061015748211545304,0.04732151034425438,0.045535298695866304,0.04002832491015943,0.029800746192724742,0.0537952220260817
local,rougeL,0.19573678048914453,0.1609145655441689,0.14069078578793545,0.13583499055596265,0.13533734273926434,0.11790112863754379,0.1477359322923366
local,avg_generation_tokens,235.83,210.35,167.495,198.14,284.345,240.545,222.78416666666666
local,eos_rate,0.835,0.855,0.88,0.835,0.735,0.775,0.8191666666666667
local,max_tokens_rate,0.165,0.145,0.12,0.165,0.265,0.225,0.18083333333333332
centralized,eval_loss,1.3014636678452576,2.046827257495297,1.9303989862844273,2.0974804398922515,2.331471477981283,2.6188068893985275,2.054408119816174
centralized,perplexity,3.6746712314950085,7.743294611971048,6.892259610117801,8.145620655038476,10.293076430305371,13.719345120252594,8.411377943196717
centralized,rouge1,0.2642844435020806,0.2271276141340736,0.2137466969932654,0.19711715645229105,0.1889046255558114,0.1776486421363103,0.21147152979563874
centralized,rouge2,0.0920431493649904,0.0563188213184185,0.044646439066453915,0.045429085887566896,0.036620211521659854,0.030622599150369755,0.05094671771824322
centralized,rougeL,0.18742242988953614,0.15109668580534108,0.13946434323034682,0.13001782079949958,0.12433466419364288,0.11349962094535158,0.14097259414395302
centralized,avg_generation_tokens,177.025,237.9,245.1,230.075,278.465,301.695,245.04333333333332
centralized,eos_rate,0.89,0.785,0.785,0.785,0.72,0.675,0.7733333333333334
centralized,max_tokens_rate,0.11,0.215,0.215,0.215,0.28,0.325,0.22666666666666668
fedit,eval_loss,1.213051057113022,1.9658038104106839,1.8463154287536394,2.021656443841778,2.257341041665677,2.537912214072282,1.9736799993095138
fedit,perplexity,3.3637319503477157,7.140650012768824,6.336429432146292,7.550822093139555,9.557641978455328,12.653226147383757,7.767083602373578
fedit,rouge1,0.24376240547672492,0.204155477569693,0.20006527196551385,0.1787879386852675,0.1639258180883189,0.16348982664907086,0.19236445640576483
fedit,rouge2,0.09036730635007385,0.05213312585227477,0.0511144452633218,0.03789014614136042,0.03144091256316886,0.028955064952385236,0.04865016685376416
fedit,rougeL,0.1828514045810955,0.14196860602477124,0.1382691214327202,0.1250818935911539,0.11391343669337388,0.11355780762667674,0.13594037832496522
fedit,avg_generation_tokens,158.19,198.36,191.605,181.4,283.61,256.405,211.595
fedit,eos_rate,0.87,0.81,0.825,0.83,0.695,0.725,0.7925
fedit,max_tokens_rate,0.13,0.19,0.175,0.17,0.305,0.275,0.20750000000000002
fedrotlora,eval_loss,1.2130043052167299,1.965833431062282,1.8461862917859524,2.0216508198081273,2.257189099019968,2.5379849176773748,1.9736414774284057
fedrotlora,perplexity,3.3635746931764823,7.14086152660761,6.335611217695465,7.550779627181427,9.55618987536737,12.654146115982837,7.766860509335198
fedrotlora,rouge1,0.24806429234262967,0.20757807931044256,0.19923474539929448,0.1818833292509951,0.17076103004874926,0.1576582539839716,0.19419662172268046
fedrotlora,rouge2,0.08990816964035275,0.05198445377313206,0.049143349165014866,0.04009272040091609,0.03274617359901332,0.02701794280200504,0.04848213489673902
fedrotlora,rougeL,0.18774995563846236,0.14339719890391106,0.13702768479816205,0.125330375678862,0.11930914416966845,0.10959948997154216,0.13706897486010136
fedrotlora,avg_generation_tokens,144.62,190.26,197.88,153.9,263.205,264.365,202.37166666666667
fedrotlora,eos_rate,0.895,0.825,0.815,0.87,0.72,0.705,0.805
fedrotlora,max_tokens_rate,0.105,0.175,0.185,0.13,0.28,0.295,0.19499999999999998
